table_id,table_name,dimension,dimension_value,indicador,tipo_dato,periodo,periodo_parsed,valor
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M11,2024-11,1156.75
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M10,2024-10,2124.25
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M09,2024-09,2451.03
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M08,2024-08,3025.96
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M07,2024-07,2846.6
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M06,2024-06,2481.75
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M05,2024-05,2193.7
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M04,2024-04,1585.78
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M03,2024-03,1358.9
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M02,2024-02,1160.75
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M01,2024-01,1069.83
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M12,2023-12,1091.47
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M11,2023-11,1067.86
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M10,2023-10,1927.88
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M09,2023-09,2246.0
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M08,2023-08,2713.63
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M07,2023-07,2582.58
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M06,2023-06,2182.21
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M05,2023-05,1891.2
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M04,2023-04,1346.35
